Épisode 296/2200, Score: 294.0, Epsilon: 0.2268
Épisode 297/2200, Score: 189.0, Epsilon: 0.2257
Épisode 298/2200, Score: 294.0, Epsilon: 0.2245
Épisode 299/2200, Score: 399.0, Epsilon: 0.2234
Épisode 300/2200, Score: 189.0, Epsilon: 0.2223
Épisode 301/2200, Score: 126.0, Epsilon: 0.2212
Épisode 302/2200, Score: 252.0, Epsilon: 0.2201
Épisode 303/2200, Score: 378.0, Epsilon: 0.2190
Épisode 304/2200, Score: 378.0, Epsilon: 0.2179
Épisode 305/2200, Score: 441.0, Epsilon: 0.2168
Épisode 306/2200, Score: 399.0, Epsilon: 0.2157
Épisode 307/2200, Score: 336.0, Epsilon: 0.2146
Épisode 308/2200, Score: 315.0, Epsilon: 0.2136
Épisode 309/2200, Score: 399.0, Epsilon: 0.2125
Épisode 310/2200, Score: 441.0, Epsilon: 0.2114
Épisode 311/2200, Score: 357.0, Epsilon: 0.2104
Épisode 312/2200, Score: 420.0, Epsilon: 0.2093
Épisode 313/2200, Score: 210.0, Epsilon: 0.2083
Épisode 314/2200, Score: 210.0, Epsilon: 0.2072
Épisode 315/2200, Score: 210.0, Epsilon: 0.2062
Épisode 316/2200, Score: 378.0, Epsilon: 0.2052
Épisode 317/2200, Score: 399.0, Epsilon: 0.2041
Épisode 318/2200, Score: 399.0, Epsilon: 0.2031
Épisode 319/2200, Score: 315.0, Epsilon: 0.2021
Épisode 320/2200, Score: 210.0, Epsilon: 0.2011
Épisode 321/2200, Score: 399.0, Epsilon: 0.2001
Épisode 322/2200, Score: 315.0, Epsilon: 0.1991
Épisode 323/2200, Score: 315.0, Epsilon: 0.1981
Épisode 324/2200, Score: 378.0, Epsilon: 0.1971
Épisode 325/2200, Score: 210.0, Epsilon: 0.1961
Épisode 326/2200, Score: 567.0, Epsilon: 0.1951
Épisode 327/2200, Score: 462.0, Epsilon: 0.1942
Épisode 328/2200, Score: 189.0, Epsilon: 0.1932
Épisode 329/2200, Score: 294.0, Epsilon: 0.1922
