Épisode 218/5000, Score: 147.0, Epsilon: 0.3353
Épisode 219/5000, Score: 336.0, Epsilon: 0.3336
Épisode 220/5000, Score: 252.0, Epsilon: 0.3320
Épisode 221/5000, Score: 189.0, Epsilon: 0.3303
Épisode 222/5000, Score: 252.0, Epsilon: 0.3286
Épisode 223/5000, Score: 189.0, Epsilon: 0.3270
Épisode 224/5000, Score: 84.0, Epsilon: 0.3254
Épisode 225/5000, Score: 126.0, Epsilon: 0.3237
Épisode 226/5000, Score: 105.0, Epsilon: 0.3221
Épisode 227/5000, Score: 189.0, Epsilon: 0.3205
Épisode 228/5000, Score: 147.0, Epsilon: 0.3189
Épisode 229/5000, Score: 168.0, Epsilon: 0.3173
Épisode 230/5000, Score: 315.0, Epsilon: 0.3157
Épisode 231/5000, Score: 105.0, Epsilon: 0.3141
Épisode 232/5000, Score: 189.0, Epsilon: 0.3126
Épisode 233/5000, Score: 63.0, Epsilon: 0.3110
Épisode 234/5000, Score: 126.0, Epsilon: 0.3095
Épisode 235/5000, Score: 126.0, Epsilon: 0.3079
Épisode 236/5000, Score: 168.0, Epsilon: 0.3064
Épisode 237/5000, Score: 168.0, Epsilon: 0.3048
Épisode 238/5000, Score: 147.0, Epsilon: 0.3033
Épisode 239/5000, Score: 63.0, Epsilon: 0.3018
Épisode 240/5000, Score: 147.0, Epsilon: 0.3003
Épisode 241/5000, Score: 63.0, Epsilon: 0.2988
Épisode 242/5000, Score: 105.0, Epsilon: 0.2973
Épisode 243/5000, Score: 105.0, Epsilon: 0.2958
Épisode 244/5000, Score: 294.0, Epsilon: 0.2943
Épisode 245/5000, Score: 189.0, Epsilon: 0.2929
Épisode 246/5000, Score: 231.0, Epsilon: 0.2914
Épisode 247/5000, Score: 210.0, Epsilon: 0.2899
Épisode 248/5000, Score: 336.0, Epsilon: 0.2885
Épisode 249/5000, Score: 147.0, Epsilon: 0.2870
Épisode 250/5000, Score: 168.0, Epsilon: 0.2856
Épisode 251/5000, Score: 189.0, Epsilon: 0.2842
Épisode 252/5000, Score: 189.0, Epsilon: 0.2828
Épisode 253/5000, Score: 210.0, Epsilon: 0.2813
Épisode 254/5000, Score: 168.0, Epsilon: 0.2799
Épisode 255/5000, Score: 252.0, Epsilon: 0.2785
Épisode 256/5000, Score: 126.0, Epsilon: 0.2771
Épisode 257/5000, Score: 126.0, Epsilon: 0.2758
Épisode 258/5000, Score: 168.0, Epsilon: 0.2744
Épisode 259/5000, Score: 126.0, Epsilon: 0.2730
Épisode 260/5000, Score: 126.0, Epsilon: 0.2716
Épisode 261/5000, Score: 189.0, Epsilon: 0.2703
Épisode 262/5000, Score: 168.0, Epsilon: 0.2689
Épisode 263/5000, Score: 168.0, Epsilon: 0.2676
Épisode 264/5000, Score: 210.0, Epsilon: 0.2663
Épisode 265/5000, Score: 168.0, Epsilon: 0.2649
Épisode 266/5000, Score: 231.0, Epsilon: 0.2636
Épisode 267/5000, Score: 189.0, Epsilon: 0.2623
Épisode 268/5000, Score: 168.0, Epsilon: 0.2610
Épisode 269/5000, Score: 147.0, Epsilon: 0.2597
