Episode158/2500Reward:378.0, Epsilon :0.4529463432347434
Episode159/2500Reward:462.0, Epsilon :0.4506816115185697
Episode160/2500Reward:420.0, Epsilon :0.4484282034609769
Episode161/2500Reward:483.0, Epsilon :0.446186062443672
Episode162/2500Reward:462.0, Epsilon :0.4439551321314536
Episode163/2500Reward:420.0, Epsilon :0.4417353564707963
Episode164/2500Reward:651.0, Epsilon :0.43952667968844233
Episode165/2500Reward:651.0, Epsilon :0.43732904629000013
Episode166/2500Reward:420.0, Epsilon :0.4351424010585501
Episode167/2500Reward:525.0, Epsilon :0.43296668905325736
Episode168/2500Reward:336.0, Epsilon :0.43080185560799106
Episode169/2500Reward:567.0, Epsilon :0.4286478463299511
Episode170/2500Reward:588.0, Epsilon :0.42650460709830135
Episode171/2500Reward:651.0, Epsilon :0.42437208406280985
Episode172/2500Reward:231.0, Epsilon :0.4222502236424958
Episode173/2500Reward:567.0, Epsilon :0.42013897252428334
Episode174/2500Reward:504.0, Epsilon :0.4180382776616619
Episode175/2500Reward:588.0, Epsilon :0.4159480862733536
Episode176/2500Reward:630.0, Epsilon :0.41386834584198684
Episode177/2500Reward:483.0, Epsilon :0.4117990041127769
Episode178/2500Reward:357.0, Epsilon :0.40974000909221303
Episode179/2500Reward:399.0, Epsilon :0.40769130904675194
Episode180/2500Reward:504.0, Epsilon :0.40565285250151817
Episode181/2500Reward:294.0, Epsilon :0.4036245882390106
Episode182/2500Reward:546.0, Epsilon :0.4016064652978155
Episode183/2500Reward:672.0, Epsilon :0.3995984329713264
Episode184/2500Reward:588.0, Epsilon :0.3976004408064698
Episode185/2500Reward:378.0, Epsilon :0.39561243860243744
Episode186/2500Reward:273.0, Epsilon :0.3936343764094253
Episode187/2500Reward:609.0, Epsilon :0.39166620452737816
Episode188/2500Reward:483.0, Epsilon :0.3897078735047413
Episode189/2500Reward:441.0, Epsilon :0.3877593341372176
Episode190/2500Reward:567.0, Epsilon :0.3858205374665315
Episode191/2500Reward:651.0, Epsilon :0.38389143477919885
Episode192/2500Reward:378.0, Epsilon :0.3819719776053028
Episode193/2500Reward:294.0, Epsilon :0.3800621177172763
Episode194/2500Reward:357.0, Epsilon :0.37816180712868996
Episode195/2500Reward:672.0, Epsilon :0.37627099809304654
Episode196/2500Reward:567.0, Epsilon :0.3743896431025813
Episode197/2500Reward:567.0, Epsilon :0.37251769488706843
Episode198/2500Reward:588.0, Epsilon :0.3706551064126331
Episode199/2500Reward:546.0, Epsilon :0.36880183088056995
Episode200/2500Reward:525.0, Epsilon :0.3669578217261671
Episode201/2500Reward:630.0, Epsilon :0.36512303261753626
Episode202/2500Reward:504.0, Epsilon :0.3632974174544486
Episode203/2500Reward:336.0, Epsilon :0.3614809303671764
Episode204/2500Reward:462.0, Epsilon :0.3596735257153405
Episode205/2500Reward:420.0, Epsilon :0.3578751580867638
Episode206/2500Reward:693.0, Epsilon :0.35608578229633
Episode207/2500Reward:315.0, Epsilon :0.3543053533848483
Episode208/2500Reward:630.0, Epsilon :0.35253382661792404
Episode209/2500Reward:525.0, Epsilon :0.3507711574848344
Episode210/2500Reward:546.0, Epsilon :0.34901730169741024
Episode211/2500Reward:399.0, Epsilon :0.3472722151889232
Episode212/2500Reward:714.0, Epsilon :0.3455358541129786
Episode213/2500Reward:504.0, Epsilon :0.3438081748424137
Episode214/2500Reward:546.0, Epsilon :0.3420891339682016
Episode215/2500Reward:462.0, Epsilon :0.3403786882983606
Episode216/2500Reward:252.0, Epsilon :0.3386767948568688
Episode217/2500Reward:651.0, Epsilon :0.33698341088258443
Episode218/2500Reward:483.0, Epsilon :0.3352984938281715
Episode219/2500Reward:483.0, Epsilon :0.33362200135903064
Episode220/2500Reward:588.0, Epsilon :0.33195389135223546
Episode221/2500Reward:651.0, Epsilon :0.3302941218954743
Episode222/2500Reward:630.0, Epsilon :0.32864265128599696
Episode223/2500Reward:567.0, Epsilon :0.326999438029567
Episode224/2500Reward:441.0, Epsilon :0.3253644408394192
Episode225/2500Reward:441.0, Epsilon :0.3237376186352221
Episode226/2500Reward:630.0, Epsilon :0.322118930542046
Episode227/2500Reward:692.0, Epsilon :0.32050833588933575
Episode228/2500Reward:546.0, Epsilon :0.31890579420988907
Episode229/2500Reward:462.0, Epsilon :0.3173112652388396
Episode230/2500Reward:651.0, Epsilon :0.3157247089126454
Episode231/2500Reward:651.0, Epsilon :0.3141460853680822
Episode232/2500Reward:525.0, Epsilon :0.3125753549412418
Episode233/2500Reward:546.0, Epsilon :0.31101247816653554
Episode234/2500Reward:462.0, Epsilon :0.30945741577570285
