Épisode 200/7000, Score: 210.0, Epsilon: 0.3670
Épisode 201/7000, Score: 273.0, Epsilon: 0.3651
Épisode 202/7000, Score: 189.0, Epsilon: 0.3633
Épisode 203/7000, Score: 126.0, Epsilon: 0.3615
Épisode 204/7000, Score: 315.0, Epsilon: 0.3597
Épisode 205/7000, Score: 336.0, Epsilon: 0.3579
Épisode 206/7000, Score: 189.0, Epsilon: 0.3561
Épisode 207/7000, Score: 231.0, Epsilon: 0.3543
Épisode 208/7000, Score: 252.0, Epsilon: 0.3525
Épisode 209/7000, Score: 210.0, Epsilon: 0.3508
Épisode 210/7000, Score: 147.0, Epsilon: 0.3490
Épisode 211/7000, Score: 378.0, Epsilon: 0.3473
Épisode 212/7000, Score: 315.0, Epsilon: 0.3455
Épisode 213/7000, Score: 126.0, Epsilon: 0.3438
Épisode 214/7000, Score: 336.0, Epsilon: 0.3421
Épisode 215/7000, Score: 357.0, Epsilon: 0.3404
Épisode 216/7000, Score: 210.0, Epsilon: 0.3387
Épisode 217/7000, Score: 441.0, Epsilon: 0.3370
Épisode 218/7000, Score: 273.0, Epsilon: 0.3353
Épisode 219/7000, Score: 336.0, Epsilon: 0.3336
Épisode 220/7000, Score: 231.0, Epsilon: 0.3320
Épisode 221/7000, Score: 189.0, Epsilon: 0.3303
Épisode 222/7000, Score: 231.0, Epsilon: 0.3286
Épisode 223/7000, Score: 189.0, Epsilon: 0.3270
Épisode 224/7000, Score: 273.0, Epsilon: 0.3254
Épisode 225/7000, Score: 189.0, Epsilon: 0.3237
Épisode 226/7000, Score: 294.0, Epsilon: 0.3221
Épisode 227/7000, Score: 441.0, Epsilon: 0.3205
Épisode 228/7000, Score: 294.0, Epsilon: 0.3189
Épisode 229/7000, Score: 315.0, Epsilon: 0.3173
Épisode 230/7000, Score: 294.0, Epsilon: 0.3157
Épisode 231/7000, Score: 315.0, Epsilon: 0.3141
Épisode 232/7000, Score: 189.0, Epsilon: 0.3126
Épisode 233/7000, Score: 378.0, Epsilon: 0.3110
Épisode 234/7000, Score: 189.0, Epsilon: 0.3095
Épisode 235/7000, Score: 315.0, Epsilon: 0.3079
Épisode 236/7000, Score: 294.0, Epsilon: 0.3064
Épisode 237/7000, Score: 189.0, Epsilon: 0.3048
Épisode 238/7000, Score: 189.0, Epsilon: 0.3033
Épisode 239/7000, Score: 273.0, Epsilon: 0.3018
Épisode 240/7000, Score: 336.0, Epsilon: 0.3003
Épisode 241/7000, Score: 399.0, Epsilon: 0.2988
Épisode 242/7000, Score: 357.0, Epsilon: 0.2973
Épisode 243/7000, Score: 210.0, Epsilon: 0.2958
Épisode 244/7000, Score: 483.0, Epsilon: 0.2943
Épisode 245/7000, Score: 273.0, Epsilon: 0.2929
Épisode 246/7000, Score: 336.0, Epsilon: 0.2914
Épisode 247/7000, Score: 189.0, Epsilon: 0.2899
Épisode 248/7000, Score: 210.0, Epsilon: 0.2885
Épisode 249/7000, Score: 231.0, Epsilon: 0.2870
Épisode 250/7000, Score: 336.0, Epsilon: 0.2856
Épisode 251/7000, Score: 231.0, Epsilon: 0.2842
Épisode 252/7000, Score: 252.0, Epsilon: 0.2828
Épisode 253/7000, Score: 399.0, Epsilon: 0.2813
Épisode 254/7000, Score: 252.0, Epsilon: 0.2799
Épisode 255/7000, Score: 231.0, Epsilon: 0.2785
Épisode 256/7000, Score: 189.0, Epsilon: 0.2771
Épisode 257/7000, Score: 168.0, Epsilon: 0.2758
Épisode 258/7000, Score: 357.0, Epsilon: 0.2744
Épisode 259/7000, Score: 189.0, Epsilon: 0.2730
Épisode 260/7000, Score: 252.0, Epsilon: 0.2716
Épisode 261/7000, Score: 189.0, Epsilon: 0.2703
Épisode 262/7000, Score: 168.0, Epsilon: 0.2689
Épisode 263/7000, Score: 315.0, Epsilon: 0.2676
Épisode 264/7000, Score: 210.0, Epsilon: 0.2663
Épisode 265/7000, Score: 441.0, Epsilon: 0.2649
Épisode 266/7000, Score: 231.0, Epsilon: 0.2636
Épisode 267/7000, Score: 252.0, Epsilon: 0.2623
Épisode 268/7000, Score: 378.0, Epsilon: 0.2610
Épisode 269/7000, Score: 210.0, Epsilon: 0.2597
Épisode 270/7000, Score: 378.0, Epsilon: 0.2584
Épisode 271/7000, Score: 273.0, Epsilon: 0.2571
Épisode 272/7000, Score: 231.0, Epsilon: 0.2558
Épisode 273/7000, Score: 294.0, Epsilon: 0.2545
Épisode 274/7000, Score: 168.0, Epsilon: 0.2532
Épisode 275/7000, Score: 399.0, Epsilon: 0.2520
Épisode 276/7000, Score: 189.0, Epsilon: 0.2507
Épisode 277/7000, Score: 462.0, Epsilon: 0.2495
Épisode 278/7000, Score: 294.0, Epsilon: 0.2482
Épisode 279/7000, Score: 273.0, Epsilon: 0.2470
Épisode 280/7000, Score: 399.0, Epsilon: 0.2457
Épisode 281/7000, Score: 504.0, Epsilon: 0.2445
Épisode 282/7000, Score: 273.0, Epsilon: 0.2433
Épisode 283/7000, Score: 189.0, Epsilon: 0.2421
Épisode 284/7000, Score: 315.0, Epsilon: 0.2409
Épisode 285/7000, Score: 315.0, Epsilon: 0.2397
